"Name","Article_Number","Origin","Alcohol","Price","Volume","Manufacturer","Type","Region","Vintage","Is_New"
"Pinot Noir Viña Laroche","282001","Chile","14 %","89,00 kr","750 ml","Viña Laroche","Rött","Aconcagua","2017","No"
"Trapiche Terroir Malbec Finca Coletto","9029501","Argentina","14,5 %","239,00 kr","750 ml","Trapiche","Rött","Mendoza","2014","No"
"Trapiche Terroir Malbec Finca Orellana","9934501","Argentina","14,5 %","230,00 kr","750 ml","Trapiche","Rött","Mendoza","2014","No"
"Carodorum Seleccìon Especial Reserva","7147101","Spanien","15 %","225,00 kr","750 ml","Bodega  Carodorum","Rött","Kastilien-León","2012","No"
"Cantina Zaccagnini Dal Tralcetto Montepulciano","7428708","Italien","12,5 %","364,00 kr","3 l","Cantina Zaccagnini","Rött","Abruzzo","2017","No"
"Scala Dei Cartoixa","7468401","Spanien","15 %","370,00 kr","750 ml","","Rött","Katalonien","2013","No"
"L Chardonnay","564908","Frankrike","13 %","249,00 kr","3 l","Laroche","Vitt","Languedoc","2017","No"
"Louis M. Martini Monte Rosso Cabernet Sauvignon","9204201","USA","15,5 %","","750 ml","Louis M Martini","Rött","Kalifornien","2013","No"
"Anna de Codorníu Brut Rosé","7713901","Spanien","12 %","119,00 kr","750 ml","Codorníu","Mousserande","Katalonien","Non Vintage","No"
"Plan B! Shiraz","450101","Australien","14,5 %","99,00 kr","750 ml","","Rött","Western Australia","2017","No"
"Cluny Blended Scotch","44401","","40 %","","700 ml","Whyte and Mackay","Sprit","","","No"
"Cluny Blended Scotch","44402","","40 %","","350 ml","Whyte and Mackay","Sprit","","","No"
"Héritages Côtes du Rhône Blanc EKO","286601","Frankrike","13,5 %","99,00 kr","750 ml","Ogier","Vitt","Rhône","2018","No"
"Louis M Martini Alexander Valley Cabernet Sauvignon","9581201","USA","14,5 %","289,00 kr","750 ml","Louis M Martini","Rött","Alexander Valley","2015","No"
"Dark Horse Double Down Red Blend","7351501","USA","15 %","119,00 kr","750 ml","","Rött","Kalifornien","2017","No"
"Anna de Codorníu Organic Brut","736901","Spanien","11,5 %","109,00 kr","750 ml","Codorníu","Mousserande","Katalonien","Non Vintage","No"
"Mas Mellot EKO","272801","Frankrike","12 %","89,00 kr","750 ml","GAEC Bruel","Rosé","Languedoc","2017","No"
"Tamnavulin Speyside Malt Whiskey","8190001","Skottland","40 %","349,00 kr","700 ml","Whyte and Mackay","Avec","","","No"
"L Chablis","7992501","Frankrike","12,5 %","159,00 kr","750 ml","Domaine Laroche","Vitt","Bourgogne","2017","No"
"Ocio Pinot Noir","9559001","Chile","14 %","390,00 kr","750 ml","Cono Sur","Rött","Casablanca Valley","2015","No"
"El Coto Crianza","1267001","Spanien","13,5 %","89,00 kr","750 ml","El Coto de Rioja","Rött","Rioja","2015","No"
"El Coto Crianza","1267002","Spanien","13,5 %","49,00 kr","380 ml","El Coto de Rioja","Rött","Rioja","2015","No"
"Museum Real Reserva","8276201","Spanien","14,5 %","184,00 kr","750 ml","","Rött","Kastilien-León","2014","No"
"Geol","7416101","Spanien","14,5 %","192,00 kr","750 ml","Tomàs Cusiné","Rött","Katalonien","2015","No"
"Lucente Toscana IGT","8536301","Italien","14,5 %","246,00 kr","750 ml","Luce della Vite","Rött","Toscana","2015","No"
"Spring Village Grenache-Syrah Rosé","7945101","Frankrike","12,5 %","73,00 kr","750 ml","Spring Village","Rosé","IGP Pays d´oc","2017","No"
"Spring Village Grenache-Syrah Rosé","463704","Frankrike","12,5 %","25,00 kr","190 ml","Spring Village","Rosé","IGP Pays d´oc","2017","No"
"Spring Village Merlot","671101","USA","12,5 %","74,00 kr","750 ml","Spring Village","Rött","Kalifornien","2017","No"
"Spring Village Merlot","671104","USA","12,5 %","29,00 kr","190 ml","Spring Village","Rött","Kalifornien","2017","No"
"Louis M Martini Sonoma County Cabernet Sauvignon","653301","USA","13,5 %","149,00 kr","750 ml","Louis M Martini","Rött","Kalifornien","2015","No"
"Lirac les Chenaies","221401","Frankrike","14,5 %","119,00 kr","750 ml","Ogier","Rött","Rhône","2017","No"
"Tahbilk The Tower Shiraz","215901","Australien","13,5 %","95,00 kr","750 ml","Tahbilk","Rött","Central Victoria","2012","No"
